taxon,precision-native_rf,recall-native_rf,f1-native_rf,precision-mobilenet_pca50_rf,recall-mobilenet_pca50_rf,f1-mobilenet_pca50_rf,precision-mobilenet600,recall-mobilenet600,f1-mobilenet600,precision-effnetv2s,recall-effnetv2s,f1-effnetv2s
Asterionellopsis,0.43333333333333335,0.2549019607843137,0.32098765432098764,0.8866666666666667,0.869281045751634,0.877887788778878,0.75,0.9607843137254902,0.8424068767908308,0.7577319587628866,0.9607843137254902,0.8472622478386166
Cerataulina,0.536156351791531,0.5432343234323432,0.539672131147541,0.7882653061224489,0.8158415841584158,0.8018164125851442,0.743865948533812,0.8204620462046205,0.7802887633396107,0.7730205278592376,0.8699669966996699,0.8186335403726708
Chaetoceros,0.606970509383378,0.30146471371504663,0.40284697508896794,0.8368008646311808,0.8247669773635153,0.8307403433476396,0.7861542251786154,0.8498002663115846,0.8167391860762734,0.7345909190611977,0.8918774966711052,0.8056290594178495
Corethron,0.6127946127946128,0.4690721649484536,0.5313868613138686,0.9645569620253165,0.9819587628865979,0.9731800766283526,0.9481481481481482,0.9896907216494846,0.9684741488020178,0.9573934837092731,0.9845360824742269,0.9707750952986022
Cylindrotheca,0.5315031503150315,0.7795379537953795,0.632057800374632,0.9438058748403576,0.9755775577557756,0.9594287568971113,0.9282147315855181,0.9815181518151815,0.9541225537375682,0.9259950248756219,0.9828382838283828,0.9535702849823888
DactFragCerataul,0.5314285714285715,0.27761194029850744,0.36470588235294116,0.6666666666666666,0.591044776119403,0.6265822784810127,0.5075921908893709,0.6985074626865672,0.5879396984924623,0.5300429184549357,0.7373134328358208,0.6167290886392011
Dactyliosolen,0.6395458845789972,0.7897196261682243,0.7067433350757973,0.9419795221843004,0.9672897196261683,0.9544668587896254,0.9105960264900662,0.9637850467289719,0.9364358683314415,0.9600484261501211,0.9264018691588785,0.9429250891795482
Dictyochophyceae,0.7674418604651163,0.4520547945205479,0.5689655172413793,0.8943661971830986,0.8698630136986302,0.8819444444444445,0.7640449438202247,0.9315068493150684,0.8395061728395061,0.7354497354497355,0.952054794520548,0.8298507462686567
Dinobryon,0.5604395604395604,0.6695842450765864,0.6101694915254238,0.9429175475687104,0.975929978118162,0.9591397849462366,0.9237113402061856,0.9803063457330415,0.9511677282377918,0.9552238805970149,0.9803063457330415,0.9676025917926565
Ditylum,0.6235294117647059,0.38686131386861317,0.47747747747747743,0.9057971014492754,0.9124087591240876,0.9090909090909091,0.8840579710144928,0.8905109489051095,0.8872727272727274,0.9224806201550387,0.8686131386861314,0.8947368421052632
Eucampia,0.6666666666666666,0.36123348017621143,0.4685714285714285,0.8761904761904762,0.8105726872246696,0.8421052631578946,0.8304347826086956,0.8414096916299559,0.8358862144420132,0.8523206751054853,0.8898678414096917,0.8706896551724138
Euglena,0.4339622641509434,0.46938775510204084,0.4509803921568628,0.8536585365853658,0.7142857142857143,0.7777777777777778,0.42452830188679247,0.9183673469387755,0.5806451612903226,0.5569620253164557,0.8979591836734694,0.6875
Flagellates,0.3416666666666667,0.12615384615384614,0.18426966292134828,0.6851385390428212,0.8369230769230769,0.7534626038781163,0.5862745098039216,0.92,0.7161676646706586,0.5563636363636364,0.9415384615384615,0.6994285714285715
Guinardia,0.7229559748427673,0.8204853675945754,0.7686392510865931,0.9262381454162276,0.9411134903640257,0.9336165693043016,0.8838283828382838,0.9557458957887224,0.9183813443072703,0.8688158314714332,0.9714489650249821,0.9172704296545914
Haptophyta,0.6312056737588653,0.5,0.5579937304075235,0.8830409356725146,0.848314606741573,0.8653295128939827,0.6816326530612244,0.9382022471910112,0.7895981087470448,0.6995884773662552,0.9550561797752809,0.8076009501187649
Leptocylindrus,0.6539139872473205,0.7752935499437027,0.7094495142773035,0.8545596258768511,0.8817757760977963,0.8679544015199494,0.874445581712726,0.8245134309152324,0.8487457570990975,0.8873406966864911,0.8399549622004182,0.8629978515947777
Peridiniales,0.7837837837837838,0.48333333333333334,0.5979381443298969,0.8679245283018868,0.7666666666666667,0.8141592920353983,0.6818181818181818,0.875,0.7664233576642336,0.6646706586826348,0.925,0.7735191637630663
Prorocentrum,0.58984375,0.8031914893617021,0.6801801801801801,0.8900523560209425,0.9042553191489362,0.8970976253298154,0.8374384236453202,0.9042553191489362,0.8695652173913042,0.8894472361809045,0.9414893617021277,0.9147286821705426
Pseudonitzschia,0.4567901234567901,0.10164835164835165,0.16629213483146066,0.7023809523809523,0.6483516483516484,0.6742857142857142,0.726027397260274,0.5824175824175825,0.6463414634146343,0.640625,0.7884615384615384,0.7068965517241379
Pyramimonas_longicauda,0.5714285714285714,0.1568627450980392,0.24615384615384614,0.9375,0.8823529411764706,0.9090909090909091,0.765625,0.9607843137254902,0.8521739130434782,0.9795918367346939,0.9411764705882353,0.96
Rhizosolenia,0.6391240875912408,0.8514196810579541,0.7301534356237492,0.9381957773512476,0.9506028782574873,0.9443585780525503,0.9426650850138395,0.9272656553870089,0.9349019607843138,0.9709028669234061,0.882535978218592,0.9246128769356152
Strombidium,0.5490196078431373,0.4375,0.48695652173913045,0.6949152542372882,0.640625,0.6666666666666667,0.45,0.84375,0.5869565217391305,0.6111111111111112,0.6875,0.6470588235294118
Thalassionema,0.5465116279069767,0.4017094017094017,0.4630541871921182,0.9428571428571428,0.8461538461538461,0.8918918918918919,0.8571428571428571,0.9230769230769231,0.888888888888889,0.8270676691729323,0.9401709401709402,0.8799999999999999
Thalassiosirales,0.6163575042158516,0.33378995433789954,0.4330568720379147,0.8155210643015521,0.8397260273972603,0.8274465691788527,0.7359528487229863,0.8552511415525114,0.7911298838437169,0.7418990203466466,0.8990867579908676,0.8129644921552437
bad,0.9601293103448276,0.969532100108814,0.9648077964266378,0.9836779107725789,0.9836779107725789,0.9836779107725789,0.9469302809573361,0.9902067464635473,0.9680851063829787,0.9558823529411765,0.9902067464635473,0.9727418492784607
detritus,0.6932953637090328,0.5248090159594584,0.5973998019716733,0.8765776287533437,0.8799258755010967,0.878248560913466,0.8585127489161585,0.8837077376900385,0.870928065598211,0.8842432619212163,0.871000680735194,0.8775720164609053
other_Ciliophora,0.6329305135951662,0.43966421825813223,0.5188854489164086,0.9180851063829787,0.9055613850996852,0.9117802430005282,0.868801652892562,0.8824763903462749,0.8755856324830817,0.9146469968387777,0.9108079748163693,0.9127234490010515
other_Dinoflagellates,0.6606363069245166,0.5638977635782748,0.608445848893996,0.7705263157894737,0.7795527156549521,0.7750132345156167,0.6588308716455169,0.8431842385516507,0.7396940324652576,0.698,0.8362619808306709,0.7609011627906977
other_diatom,0.5874125874125874,0.2420749279538905,0.34285714285714286,0.8188034188034188,0.6902017291066282,0.7490226739640343,0.6566985645933014,0.7910662824207493,0.7176470588235294,0.701363073110285,0.8155619596541787,0.754163890739507
other_interaction,0.64,0.06451612903225806,0.1172161172161172,0.5488721804511278,0.29435483870967744,0.38320209973753283,0.422680412371134,0.33064516129032256,0.3710407239819004,0.41729323308270677,0.4475806451612903,0.43190661478599224
other_living,0.9250987599096744,0.9718499646142958,0.9478982594097898,0.9781543082197602,0.9772682236376504,0.977711065167521,0.9843213318786116,0.9653956121726822,0.9747666169316344,0.9833907847868552,0.9691096956829441,0.9761980124613259
other_living_elongated,0.4712671905697446,0.42825262218254856,0.44873143926107795,0.7302495992672315,0.711671501896898,0.7208408679927667,0.6932651700377862,0.6960499888417764,0.6946547884187082,0.7031146454605699,0.7103325150636018,0.7067051509769093
spore,0.0,0.0,0.0,0.9473684210526315,0.6428571428571429,0.7659574468085106,0.4864864864864865,0.6428571428571429,0.5538461538461539,0.6206896551724138,0.6428571428571429,0.6315789473684211
