taxon,precision-native_rf,recall-native_rf,f1-native_rf,precision-mobilenet_pca50_rf,recall-mobilenet_pca50_rf,f1-mobilenet_pca50_rf,precision-mobilenet600,recall-mobilenet600,f1-mobilenet600,precision-effnetv2s,recall-effnetv2s,f1-effnetv2s
Acantharia,0.0,0.0,0.0,0.9375,0.9493670886075949,0.9433962264150944,0.8369565217391305,0.9746835443037974,0.9005847953216375,0.95,0.9620253164556962,0.9559748427672956
Actinopterygii,0.25,0.2727272727272727,0.2608695652173913,0.5,0.5454545454545454,0.5217391304347826,0.2692307692307692,0.6363636363636364,0.37837837837837834,0.5555555555555556,0.45454545454545453,0.5
Amphipoda,0.5,0.037037037037037035,0.06896551724137931,0.9230769230769231,0.4444444444444444,0.6,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.6111111111111112,0.8148148148148148,0.6984126984126984
Annelida,0.42857142857142855,0.15254237288135594,0.22500000000000003,0.8113207547169812,0.7288135593220338,0.7678571428571428,0.5053763440860215,0.7966101694915254,0.6184210526315789,0.7164179104477612,0.8135593220338984,0.761904761904762
Appendicularia,0.39705882352941174,0.25961538461538464,0.313953488372093,0.6634615384615384,0.6634615384615384,0.6634615384615384,0.4182692307692308,0.8365384615384616,0.5576923076923077,0.3433962264150943,0.875,0.49322493224932246
Aulacanthidae,0.0,0.0,0.0,0.9629629629629629,0.896551724137931,0.9285714285714286,0.9629629629629629,0.896551724137931,0.9285714285714286,0.8787878787878788,1.0,0.9354838709677419
Aulosphaeridae,0.0,0.0,0.0,0.9069767441860465,0.8297872340425532,0.8666666666666666,0.8431372549019608,0.9148936170212766,0.8775510204081632,0.6666666666666666,0.9361702127659575,0.7787610619469028
Chaetognatha,0.5909090909090909,0.22807017543859648,0.32911392405063294,0.7121212121212122,0.8245614035087719,0.7642276422764227,0.5833333333333334,0.8596491228070176,0.6950354609929078,0.5473684210526316,0.9122807017543859,0.6842105263157894
Cnidaria,0.7105263157894737,0.20454545454545456,0.3176470588235294,0.8787878787878788,0.6590909090909091,0.7532467532467532,0.7424242424242424,0.7424242424242424,0.7424242424242424,0.7971014492753623,0.8333333333333334,0.8148148148148148
Coelodendridae,0.0,0.0,0.0,0.9,0.8709677419354839,0.8852459016393444,0.8823529411764706,0.967741935483871,0.923076923076923,0.9393939393939394,1.0,0.96875
Collodaria,1.0,0.03937007874015748,0.07575757575757576,0.8787878787878788,0.9133858267716536,0.8957528957528957,0.6836158192090396,0.952755905511811,0.7960526315789475,0.6685393258426966,0.937007874015748,0.7803278688524591
Copepoda,0.8324607329842932,0.06800684345594525,0.1257413997627521,0.8733115975780158,0.80196749358426,0.8361204013377928,0.7425992779783394,0.8798118049615056,0.8054032889584964,0.7428967428967429,0.9170230966638152,0.8208269525267995
Ctenophora,0.0,0.0,0.0,0.631578947368421,0.6,0.6153846153846154,0.5384615384615384,0.7,0.608695652173913,0.5517241379310345,0.8,0.6530612244897959
Echinodermata,0.0,0.0,0.0,0.8333333333333334,0.5,0.625,0.42105263157894735,0.8,0.5517241379310345,0.3103448275862069,0.9,0.4615384615384615
Eumalacostraca,0.32142857142857145,0.13740458015267176,0.19251336898395724,0.7651515151515151,0.7709923664122137,0.7680608365019012,0.6666666666666666,0.8396946564885496,0.7432432432432431,0.6612903225806451,0.9389312977099237,0.77602523659306
Foraminifera,0.8888888888888888,0.4444444444444444,0.5925925925925926,0.8,0.8888888888888888,0.8421052631578948,0.6153846153846154,0.8888888888888888,0.7272727272727274,0.8,0.8888888888888888,0.8421052631578948
Mollusca,0.9,0.2727272727272727,0.41860465116279066,0.625,0.6060606060606061,0.6153846153846154,0.5217391304347826,0.7272727272727273,0.6075949367088608,0.6,0.9090909090909091,0.7228915662650602
Ostracoda,0.0,0.0,0.0,0.8205128205128205,0.5925925925925926,0.6881720430107526,0.47058823529411764,0.7407407407407407,0.5755395683453237,0.6285714285714286,0.8148148148148148,0.7096774193548386
Rhizaria,1.0,0.0036496350364963502,0.007272727272727273,0.8532818532818532,0.8065693430656934,0.8292682926829268,0.7046783625730995,0.8795620437956204,0.7824675324675324,0.7612903225806451,0.8613138686131386,0.8082191780821917
Salpida,0.5625,0.5142857142857142,0.5373134328358209,0.8157894736842105,0.8857142857142857,0.8493150684931505,0.673469387755102,0.9428571428571428,0.7857142857142857,0.8048780487804879,0.9428571428571428,0.868421052631579
Siphonophorae,0.4,0.3333333333333333,0.3636363636363636,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.28,0.5833333333333334,0.3783783783783784,0.3225806451612903,0.8333333333333334,0.4651162790697674
Trachylina,0.3333333333333333,0.3684210526315789,0.35,0.8,0.631578947368421,0.7058823529411765,0.5172413793103449,0.7894736842105263,0.625,0.6,0.7894736842105263,0.6818181818181819
Trichodesmium,0.8571428571428571,0.004885993485342019,0.009716599190283401,0.884185303514377,0.9014657980456026,0.8927419354838708,0.8203848895224519,0.9372964169381107,0.8749524895477006,0.8535871156661786,0.9495114006514658,0.8989976869699305
artefact,0.9507235041063746,0.8068370394955194,0.8728904847396769,0.9530733641771315,0.9571855293727182,0.9551250206987911,0.9576043068640646,0.9445735147693329,0.9510442773600669,0.9339561855670103,0.962163956189844,0.9478502533921856
crystal,0.8313253012048193,0.9151193633952255,0.8712121212121212,0.9224376731301939,0.883289124668435,0.9024390243902439,0.8696741854636592,0.9204244031830239,0.8943298969072165,0.8923076923076924,0.9230769230769231,0.9074315514993481
detritus,0.8916188330382848,0.9799728778915509,0.933710347927044,0.9699580855833901,0.9778502780998801,0.9738881929220168,0.9843046128131434,0.9490576049999018,0.9663598158895338,0.9869532320402445,0.9485466087537587,0.9673688641237898
fiber,0.6761112555237848,0.7980975759435409,0.7320574162679427,0.8230088495575221,0.8275544645596808,0.8252753977968176,0.7563897763578274,0.8717397974838907,0.8099786172487528,0.775206611570248,0.8634550475606014,0.8169545652489476
filament,0.7157894736842105,0.20606060606060606,0.32,0.75,0.6909090909090909,0.7192429022082019,0.49552772808586765,0.8393939393939394,0.6231721034870641,0.5009345794392523,0.8121212121212121,0.6196531791907515
other<living,0.3181818181818182,0.036458333333333336,0.06542056074766356,0.5344827586206896,0.16145833333333334,0.248,0.2654320987654321,0.22395833333333334,0.24293785310734464,0.3146067415730337,0.2916666666666667,0.3027027027027027
reflection,0.8653846153846154,0.09803921568627451,0.17612524461839532,0.8393665158371041,0.8082788671023965,0.8235294117647058,0.7393822393822393,0.8344226579520697,0.7840327533265097,0.6864406779661016,0.8823529411764706,0.7721639656816015
t004,0.0,0.0,0.0,0.8181818181818182,0.75,0.7826086956521738,0.7241379310344828,0.875,0.7924528301886793,0.6571428571428571,0.9583333333333334,0.7796610169491525
t011,1.0,0.36363636363636365,0.5333333333333333,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.5789473684210527,1.0,0.7333333333333334,0.7333333333333333,1.0,0.846153846153846
