taxon,precision-native_rf,recall-native_rf,f1-native_rf,precision-mobilenet_pca50_rf,recall-mobilenet_pca50_rf,f1-mobilenet_pca50_rf,precision-mobilenet600,recall-mobilenet600,f1-mobilenet600,precision-effnetv2s,recall-effnetv2s,f1-effnetv2s,grouped
Acantharia,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.5882352941176471,0.8333333333333334,0.6896551724137931,Retaria
Amphorides,0.0,0.0,0.0,1.0,0.65,0.787878787878788,0.7894736842105263,0.75,0.7692307692307692,0.8947368421052632,0.85,0.8717948717948718,Rhabdonellidae
Appendicularia,0.0,0.0,0.0,1.0,0.7368421052631579,0.8484848484848484,0.6428571428571429,0.9473684210526315,0.7659574468085106,0.7916666666666666,1.0,0.8837209302325582,Appendicularia
Asterolamprales,1.0,0.043478260869565216,0.08333333333333333,0.8888888888888888,0.34782608695652173,0.5,0.6470588235294118,0.4782608695652174,0.55,0.6,0.6521739130434783,0.6250000000000001,Asterolamprales
Bacillariophyceae,0.5446009389671361,0.29329962073324906,0.38126540673788,0.7479954180985109,0.8255372945638433,0.7848557692307693,0.7840755735492577,0.7345132743362832,0.7584856396866841,0.842741935483871,0.7926675094816688,0.8169381107491858,Bacillariophyceae
Bacteriastrum,0.5384615384615384,0.18421052631578946,0.2745098039215686,0.7192982456140351,0.5394736842105263,0.6165413533834586,0.6436781609195402,0.7368421052631579,0.6871165644171778,0.6813186813186813,0.8157894736842105,0.7425149700598803,Bacteriastrum
Calanoida,0.30434782608695654,0.813953488372093,0.4430379746835443,0.7837837837837838,0.6744186046511628,0.725,0.6792452830188679,0.8372093023255814,0.7499999999999999,0.8085106382978723,0.8837209302325582,0.8444444444444444,Copepoda
Ceratocorys,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,0.5333333333333333,0.5714285714285714,0.5517241379310344,0.7272727272727273,0.5714285714285714,0.64,Gonyaulacales
Chaetoceros,0.5271966527196653,0.3442622950819672,0.41652892561983473,0.7792207792207793,0.819672131147541,0.7989347536617842,0.8055555555555556,0.7923497267759563,0.7988980716253443,0.8546511627906976,0.8032786885245902,0.828169014084507,Chaetoceros
Chaetoceros peruvianus,0.0,0.0,0.0,0.6666666666666666,0.3157894736842105,0.42857142857142855,0.6086956521739131,0.7368421052631579,0.6666666666666666,0.5625,0.9473684210526315,0.7058823529411765,Chaetoceros
Ciliophora,0.0,0.0,0.0,0.5454545454545454,0.35294117647058826,0.42857142857142855,0.3684210526315789,0.4117647058823529,0.3888888888888889,0.4166666666666667,0.5882352941176471,0.48780487804878053,Ciliophora
Cladopyxis,0.0,0.0,0.0,0.8888888888888888,0.6153846153846154,0.7272727272727274,0.7058823529411765,0.9230769230769231,0.8000000000000002,0.9285714285714286,1.0,0.962962962962963,Gonyaulacales
Climacodium,0.5789473684210527,0.13580246913580246,0.22,0.7529411764705882,0.7901234567901234,0.7710843373493975,0.7941176470588235,0.6666666666666666,0.7248322147651006,0.8048780487804879,0.8148148148148148,0.8098159509202455,Climacodium
Climacodium inter. Crocosphaera,0.3888888888888889,0.1346153846153846,0.19999999999999998,0.7333333333333333,0.6346153846153846,0.6804123711340205,0.5789473684210527,0.8461538461538461,0.6875,0.6557377049180327,0.7692307692307693,0.7079646017699115,Climacodium inter. Crocosphaera
Codonaria,0.0,0.0,0.0,0.7272727272727273,0.6153846153846154,0.6666666666666667,0.75,0.6923076923076923,0.7199999999999999,0.75,0.6923076923076923,0.7199999999999999,Dictyocystidae
Codonellopsis,0.5017421602787456,0.7955801104972375,0.6153846153846153,0.9453551912568307,0.9558011049723757,0.9505494505494505,0.9771428571428571,0.9447513812154696,0.9606741573033707,0.9617486338797814,0.9723756906077348,0.967032967032967,Tintinnidiidae
