taxon,precision-native_rf,recall-native_rf,f1-native_rf,precision-mobilenet_pca50_rf,recall-mobilenet_pca50_rf,f1-mobilenet_pca50_rf,precision-mobilenet600,recall-mobilenet600,f1-mobilenet600,precision-effnetv2s,recall-effnetv2s,f1-effnetv2s,grouped
Amphidinium_sp,0.6,0.12,0.19999999999999998,0.8125,0.52,0.6341463414634146,0.36363636363636365,0.64,0.463768115942029,0.23684210526315788,0.72,0.3564356435643564,other_Dinoflagellates
Asterionellopsis,0.43333333333333335,0.2549019607843137,0.32098765432098764,0.8866666666666667,0.869281045751634,0.877887788778878,0.75,0.9607843137254902,0.8424068767908308,0.7577319587628866,0.9607843137254902,0.8472622478386166,Asterionellopsis
Cerataulina,0.536156351791531,0.5432343234323432,0.539672131147541,0.7882653061224489,0.8158415841584158,0.8018164125851442,0.743865948533812,0.8204620462046205,0.7802887633396107,0.7730205278592376,0.8699669966996699,0.8186335403726708,Cerataulina
Cerataulina_flagellate,0.0,0.0,0.0,0.7142857142857143,0.35714285714285715,0.4761904761904762,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.5,0.8571428571428571,0.631578947368421,other_diatom
Ceratium,0.6923076923076923,0.5806451612903226,0.631578947368421,0.967741935483871,0.967741935483871,0.967741935483871,0.9393939393939394,1.0,0.96875,0.9117647058823529,1.0,0.9538461538461539,other_Dinoflagellates
Chaetoceros,0.5238993710691824,0.24385245901639344,0.33280063923292047,0.8032116788321167,0.805327868852459,0.804268381815524,0.7623626373626373,0.8123536299765808,0.78656462585034,0.7113276492082826,0.8548009367681498,0.7764924877011036,Chaetoceros
Chaetoceros_didymus,0.0,0.0,0.0,0.7346938775510204,0.631578947368421,0.6792452830188679,0.47959183673469385,0.8245614035087719,0.6064516129032258,0.5625,0.7894736842105263,0.656934306569343,Chaetoceros
Chaetoceros_didymus_flagellate,0.5985401459854015,0.8631578947368421,0.706896551724138,0.9424083769633508,0.9473684210526315,0.9448818897637795,0.8817733990147784,0.9421052631578948,0.910941475826972,0.9166666666666666,0.9842105263157894,0.949238578680203,Chaetoceros
Chaetoceros_other,0.0,0.0,0.0,0.5,0.09523809523809523,0.16,0.15,0.14285714285714285,0.14634146341463414,0.18604651162790697,0.38095238095238093,0.25,Chaetoceros
Chaetoceros_pennate,0.0,0.0,0.0,0.65625,0.29577464788732394,0.4077669902912621,0.41836734693877553,0.5774647887323944,0.485207100591716,0.3779527559055118,0.676056338028169,0.4848484848484849,Chaetoceros
Chrysochromulina,0.0,0.0,0.0,0.5714285714285714,0.5882352941176471,0.5797101449275363,0.30337078651685395,0.7941176470588235,0.4390243902439025,0.3918918918918919,0.8529411764705882,0.537037037037037,Haptophyta
Ciliate_mix,0.5763636363636364,0.4260752688172043,0.48995363214837717,0.884,0.8911290322580645,0.8875502008032129,0.855191256830601,0.8413978494623656,0.8482384823848237,0.9028571428571428,0.8494623655913979,0.8753462603878117,other_Ciliophora
Corethron,0.6127946127946128,0.4690721649484536,0.5313868613138686,0.9645569620253165,0.9819587628865979,0.9731800766283526,0.9481481481481482,0.9896907216494846,0.9684741488020178,0.9573934837092731,0.9845360824742269,0.9707750952986022,Corethron
Coscinodiscus,0.8125,0.6666666666666666,0.7323943661971831,0.8529411764705882,0.7435897435897436,0.7945205479452054,0.6545454545454545,0.9230769230769231,0.7659574468085106,0.7555555555555555,0.8717948717948718,0.8095238095238095,other_diatom
Cylindrotheca,0.5315031503150315,0.7795379537953795,0.632057800374632,0.9438058748403576,0.9755775577557756,0.9594287568971113,0.9282147315855181,0.9815181518151815,0.9541225537375682,0.9259950248756219,0.9828382838283828,0.9535702849823888,Cylindrotheca
DactFragCerataul,0.5314285714285715,0.27761194029850744,0.36470588235294116,0.6666666666666666,0.591044776119403,0.6265822784810127,0.5075921908893709,0.6985074626865672,0.5879396984924623,0.5300429184549357,0.7373134328358208,0.6167290886392011,DactFragCerataul
Dactyliosolen,0.6395458845789972,0.7897196261682243,0.7067433350757973,0.9419795221843004,0.9672897196261683,0.9544668587896254,0.9105960264900662,0.9637850467289719,0.9364358683314415,0.9600484261501211,0.9264018691588785,0.9429250891795482,Dactyliosolen
Delphineis,0.0,0.0,0.0,0.6590909090909091,0.6904761904761905,0.6744186046511628,0.4507042253521127,0.7619047619047619,0.5663716814159292,0.4642857142857143,0.9285714285714286,0.6190476190476191,other_diatom
