taxon,precision-native_rf,recall-native_rf,f1-native_rf,precision-mobilenet_pca50_rf,recall-mobilenet_pca50_rf,f1-mobilenet_pca50_rf,precision-mobilenet600,recall-mobilenet600,f1-mobilenet600,precision-effnetv2s,recall-effnetv2s,f1-effnetv2s
Acantharea,0.3839779005524862,0.4384858044164038,0.40942562592047127,0.78,0.7381703470031545,0.7585089141004862,0.7912457912457912,0.7413249211356467,0.765472312703583,0.771513353115727,0.8201892744479495,0.7951070336391437
Actinopterygii,0.2708333333333333,0.30952380952380953,0.2888888888888889,0.5384615384615384,0.6666666666666666,0.5957446808510638,0.4909090909090909,0.6428571428571429,0.5567010309278351,0.6578947368421053,0.5952380952380952,0.625
Annelida,0.0,0.0,0.0,0.9090909090909091,0.5,0.6451612903225806,0.7142857142857143,0.5,0.588235294117647,0.56,0.7,0.6222222222222222
Appendicularia,0.26153846153846155,0.1471861471861472,0.1883656509695291,0.8287461773700305,0.7821067821067821,0.8047512991833704,0.7413127413127413,0.8311688311688312,0.7836734693877551,0.7490952955367913,0.8961038961038961,0.8160315374507227
Aulacanthidae,0.7959183673469388,0.5324232081911263,0.6380368098159509,0.8018575851393189,0.8839590443686007,0.840909090909091,0.6455981941309256,0.9761092150170648,0.7771739130434783,0.7272727272727273,0.9556313993174061,0.8259587020648967
Bacillariophyceae,0.5872093023255814,0.36200716845878134,0.4478935698447894,0.7830508474576271,0.8279569892473119,0.8048780487804879,0.5726681127982647,0.946236559139785,0.7135135135135136,0.6417910447761194,0.9247311827956989,0.7577092511013216
Chaetognatha,0.25,0.08108108108108109,0.12244897959183675,0.5526315789473685,0.5675675675675675,0.5599999999999999,0.36764705882352944,0.6756756756756757,0.4761904761904762,0.4142857142857143,0.7837837837837838,0.5420560747663551
Cnidaria,0.0,0.0,0.0,0.75,0.3,0.4285714285714285,0.32142857142857145,0.45,0.375,0.4117647058823529,0.7,0.5185185185185185
Copepoda,0.7744585511575803,0.43316624895572264,0.5555853201178677,0.9289940828402367,0.9509189640768588,0.9398286716895448,0.9178464606181456,0.9613617376775272,0.93910027542589,0.9127172195892576,0.9653299916457811,0.9382866423061307
Crustacea,0.3412698412698413,0.2905405405405405,0.31386861313868614,0.6554054054054054,0.6554054054054054,0.6554054054054054,0.6410256410256411,0.6756756756756757,0.6578947368421052,0.6342857142857142,0.75,0.6873065015479874
Ctenophora,0.48717948717948717,0.5560975609756098,0.5193621867881548,0.8056872037914692,0.8292682926829268,0.8173076923076923,0.7405857740585774,0.8634146341463415,0.7972972972972974,0.7054263565891473,0.8878048780487805,0.7861771058315336
Doliolida,0.5947556615017878,0.9397363465160076,0.7284671532846714,0.9416126042632067,0.9566854990583804,0.9490892106492294,0.9237668161434978,0.9698681732580038,0.9462563160312356,0.94337899543379,0.972693032015066,0.9578117756142792
Eumalacostraca,0.2,0.13333333333333333,0.16,0.7,0.4666666666666667,0.56,0.7692307692307693,0.6666666666666666,0.7142857142857142,0.5238095238095238,0.7333333333333333,0.611111111111111
Mollusca,0.5,0.03571428571428571,0.06666666666666667,0.75,0.6428571428571429,0.6923076923076924,0.4772727272727273,0.75,0.5833333333333334,0.44,0.7857142857142857,0.5641025641025641
Pyrocystis,0.2606199770378875,0.5880829015544041,0.3611774065234685,0.9270833333333334,0.9222797927461139,0.9246753246753248,0.916243654822335,0.9352331606217616,0.9256410256410257,0.908641975308642,0.9533678756476683,0.9304677623261693
Rhizaria,0.16778523489932887,0.08064516129032258,0.10893246187363834,0.6620689655172414,0.6193548387096774,0.64,0.5755208333333334,0.7129032258064516,0.6368876080691642,0.6198830409356725,0.6838709677419355,0.6503067484662576
Rhopalonematidae,0.4878048780487805,0.3125,0.38095238095238093,0.8703703703703703,0.734375,0.7966101694915254,0.7878787878787878,0.8125,0.8,0.6904761904761905,0.90625,0.7837837837837837
Siphonophorae,0.1799787007454739,0.6627450980392157,0.2830820770519263,0.7542662116040956,0.8666666666666667,0.8065693430656935,0.7491525423728813,0.8666666666666667,0.8036363636363636,0.7705479452054794,0.8823529411764706,0.8226691042047533
colonial_colodaria,0.41379310344827586,0.5454545454545454,0.47058823529411764,0.8823529411764706,0.6818181818181818,0.7692307692307693,0.6,0.75,0.6666666666666665,0.76,0.8636363636363636,0.8085106382978724
detritus,0.9349131834115741,0.9461629426775378,0.9405044235012683,0.9774639111018797,0.9763282919441505,0.9768957714902538,0.9872494277217979,0.9573867762079625,0.9720888102460399,0.98906928490449,0.9592747038443186,0.9739441811479725
ephyra,0.4675324675324675,0.4931506849315068,0.48000000000000004,0.8356164383561644,0.8356164383561644,0.8356164383561644,0.75,0.863013698630137,0.802547770700637,0.75,0.9452054794520548,0.8363636363636364
like_Acantharea,0.0,0.0,0.0,0.8,0.5714285714285714,0.6666666666666666,0.8181818181818182,0.6428571428571429,0.7200000000000001,0.7692307692307693,0.7142857142857143,0.7407407407407408
other_living,0.0,0.0,0.0,0.4691358024691358,0.2550335570469799,0.3304347826086957,0.37572254335260113,0.436241610738255,0.4037267080745341,0.4166666666666667,0.3691275167785235,0.3914590747330961
part_Cnidaria,0.9296482412060302,0.9585492227979274,0.9438775510204082,0.9633507853403142,0.9533678756476683,0.9583333333333333,0.9211822660098522,0.9689119170984456,0.9444444444444444,0.9591836734693877,0.9740932642487047,0.9665809768637533
solitaryblack,0.17582417582417584,0.463768115942029,0.2549800796812749,0.8787878787878788,0.8405797101449275,0.8592592592592593,0.7721518987341772,0.8840579710144928,0.8243243243243245,0.6565656565656566,0.9420289855072463,0.7738095238095237
streak,0.8655900621118012,0.9880884855360181,0.9227916832207653,0.8827334083239595,0.8902439024390244,0.8864727478113528,0.8125933300149328,0.9259784458309699,0.8655885471898197,0.8207310966449675,0.9296653431650596,0.8718085106382979
vertical line,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,0.9565217391304348,1.0,1.0,1.0
