taxon,precision-native_rf,recall-native_rf,f1-native_rf,precision-mobilenet_pca50_rf,recall-mobilenet_pca50_rf,f1-mobilenet_pca50_rf,precision-mobilenet600,recall-mobilenet600,f1-mobilenet600,precision-effnetv2s,recall-effnetv2s,f1-effnetv2s,grouped
Actinopterygii,0.25,0.2727272727272727,0.2608695652173913,0.5,0.5454545454545454,0.5217391304347826,0.2692307692307692,0.6363636363636364,0.37837837837837834,0.5555555555555556,0.45454545454545453,0.5,Actinopterygii
Amphipoda,0.5,0.05555555555555555,0.09999999999999999,0.9166666666666666,0.6111111111111112,0.7333333333333334,0.6875,0.6111111111111112,0.6470588235294118,0.5769230769230769,0.8333333333333334,0.6818181818181818,Amphipoda
Annelida,0.0,0.0,0.0,0.5714285714285714,0.3333333333333333,0.4210526315789474,0.3333333333333333,0.5,0.4,0.5,0.625,0.5555555555555556,Annelida
Appendicularia,0.0,0.0,0.0,1.0,0.7857142857142857,0.88,0.6470588235294118,0.7857142857142857,0.7096774193548386,0.5789473684210527,0.7857142857142857,0.6666666666666667,Appendicularia
Aulacanthidae,0.0,0.0,0.0,0.9629629629629629,0.896551724137931,0.9285714285714286,0.9629629629629629,0.896551724137931,0.9285714285714286,0.8787878787878788,1.0,0.9354838709677419,Aulacanthidae
Aulatractus,0.0,0.0,0.0,1.0,0.5454545454545454,0.7058823529411764,0.8,0.7272727272727273,0.761904761904762,0.75,0.8181818181818182,0.7826086956521738,Aulosphaeridae
Aulosphaeridae,0.0,0.0,0.0,0.8918918918918919,0.9166666666666666,0.9041095890410958,0.8292682926829268,0.9444444444444444,0.883116883116883,0.6481481481481481,0.9722222222222222,0.7777777777777778,Aulosphaeridae
Calanidae,0.6226415094339622,0.3793103448275862,0.47142857142857136,0.7865168539325843,0.8045977011494253,0.7954545454545455,0.6015625,0.8850574712643678,0.7162790697674419,0.7777777777777778,0.8850574712643678,0.8279569892473118,Copepoda
Calanoida,0.8188405797101449,0.0837037037037037,0.15188172043010753,0.8086158192090396,0.8481481481481481,0.8279103398409254,0.7906815020862309,0.8422222222222222,0.8156384505021522,0.7829457364341085,0.8977777777777778,0.8364389233954451,Copepoda
Chaetognatha,0.5909090909090909,0.22807017543859648,0.32911392405063294,0.7121212121212122,0.8245614035087719,0.7642276422764227,0.5833333333333334,0.8596491228070176,0.6950354609929078,0.5473684210526316,0.9122807017543859,0.6842105263157894,Chaetognatha
Cnidaria,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.75,0.5454545454545454,0.5,0.75,0.6,Cnidaria
Coelodendridae,0.0,0.0,0.0,0.8260869565217391,0.9047619047619048,0.8636363636363636,0.8695652173913043,0.9523809523809523,0.909090909090909,0.9090909090909091,0.9523809523809523,0.9302325581395349,Coelodendridae
Collodaria,0.0,0.0,0.0,0.8985507246376812,0.9538461538461539,0.9253731343283582,0.735632183908046,0.9846153846153847,0.8421052631578947,0.7469879518072289,0.9538461538461539,0.8378378378378377,Collodaria
Copepoda,0.0,0.0,0.0,0.5066413662239089,0.4369885433715221,0.469244288224956,0.3915989159891599,0.47299509001636664,0.4284655300222387,0.3903345724907063,0.5155482815057283,0.44428772919605075,Copepoda
Creseis,0.9,0.6,0.7200000000000001,0.8125,0.8666666666666667,0.8387096774193549,0.4838709677419355,1.0,0.6521739130434783,0.7142857142857143,1.0,0.8333333333333333,Mollusca
Ctenophora,0.0,0.0,0.0,0.631578947368421,0.6,0.6153846153846154,0.5384615384615384,0.7,0.608695652173913,0.5517241379310345,0.8,0.6530612244897959,Ctenophora
Echinodermata,0.0,0.0,0.0,0.8333333333333334,0.5,0.625,0.42105263157894735,0.8,0.5517241379310345,0.3103448275862069,0.9,0.4615384615384615,Echinodermata
Eumalacostraca,0.32142857142857145,0.13740458015267176,0.19251336898395724,0.7651515151515151,0.7709923664122137,0.7680608365019012,0.6666666666666666,0.8396946564885496,0.7432432432432431,0.6612903225806451,0.9389312977099237,0.77602523659306,Eumalacostraca
Foraminifera,0.8888888888888888,0.4444444444444444,0.5925925925925926,0.8,0.8888888888888888,0.8421052631578948,0.6153846153846154,0.8888888888888888,0.7272727272727274,0.8,0.8888888888888888,0.8421052631578948,Foraminifera
Hyperiidea,0.0,0.0,0.0,1.0,0.1111111111111111,0.19999999999999998,0.2608695652173913,0.6666666666666666,0.37500000000000006,0.6,0.6666666666666666,0.631578947368421,Amphipoda
Narcomedusae,0.29411764705882354,0.45454545454545453,0.35714285714285715,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6,0.8181818181818182,0.6923076923076923,0.6470588235294118,1.0,0.7857142857142858,Trachylina
Ostracoda,0.0,0.0,0.0,0.8205128205128205,0.5925925925925926,0.6881720430107526,0.47058823529411764,0.7407407407407407,0.5755395683453237,0.6285714285714286,0.8148148148148148,0.7096774193548386,Ostracoda
Phyllodocida,0.25,0.3333333333333333,0.28571428571428575,1.0,0.75,0.8571428571428571,0.75,0.75,0.75,0.6923076923076923,0.75,0.7199999999999999,Annelida
Rhizaria,1.0,0.004545454545454545,0.009049773755656108,0.7841409691629956,0.8090909090909091,0.796420581655481,0.6867924528301886,0.8272727272727273,0.7505154639175258,0.7521367521367521,0.8,0.7753303964757711,Rhizaria
Salpida,0.3076923076923077,0.4,0.34782608695652173,0.8571428571428571,0.9,0.8780487804878048,0.6666666666666666,1.0,0.8,0.6923076923076923,0.9,0.7826086956521738,Salpida
Siphonophorae,0.4,0.3333333333333333,0.3636363636363636,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.28,0.5833333333333334,0.3783783783783784,0.3225806451612903,0.8333333333333334,0.4651162790697674,Siphonophorae
Swima,0.6,0.13043478260869565,0.21428571428571427,0.7333333333333333,0.9565217391304348,0.8301886792452831,0.4888888888888889,0.9565217391304348,0.6470588235294117,0.7916666666666666,0.8260869565217391,0.8085106382978724,Annelida
Thecosomata,0.0,0.0,0.0,0.4375,0.3888888888888889,0.411764705882353,0.6,0.5,0.5454545454545454,0.5172413793103449,0.8333333333333334,0.6382978723404256,Mollusca
Trachymedusae,0.5,0.25,0.3333333333333333,0.5,0.25,0.3333333333333333,0.35714285714285715,0.625,0.45454545454545453,0.5,0.5,0.5,Trachylina
artefact,0.9507235041063746,0.8068370394955194,0.8728904847396769,0.9530733641771315,0.9571855293727182,0.9551250206987911,0.9576043068640646,0.9445735147693329,0.9510442773600669,0.9339561855670103,0.962163956189844,0.9478502533921856,artefact
chain<Salpida,0.5,0.2,0.28571428571428575,0.7647058823529411,0.8666666666666667,0.8125,0.6842105263157895,0.8666666666666667,0.7647058823529413,0.8,0.8,0.8000000000000002,Salpida
cloud,1.0,0.041666666666666664,0.07999999999999999,0.875,0.875,0.875,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.7241379310344828,0.875,0.7924528301886793,Collodaria
copepoda eggs,0.0,0.0,0.0,0.8181818181818182,0.47368421052631576,0.6,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.4827586206896552,0.7368421052631579,0.5833333333333334,Copepoda
crystal,0.8313253012048193,0.9151193633952255,0.8712121212121212,0.9224376731301939,0.883289124668435,0.9024390243902439,0.8696741854636592,0.9204244031830239,0.8943298969072165,0.8923076923076924,0.9230769230769231,0.9074315514993481,crystal
darksphere,0.3181818181818182,0.20588235294117646,0.25,0.7241379310344828,0.6176470588235294,0.6666666666666667,0.4583333333333333,0.6470588235294118,0.5365853658536585,0.5909090909090909,0.7647058823529411,0.6666666666666667,other<living
dead<house,0.39705882352941174,0.3,0.34177215189873417,0.6236559139784946,0.6444444444444445,0.6338797814207651,0.39790575916230364,0.8444444444444444,0.5409252669039146,0.3170731707317073,0.8666666666666667,0.4642857142857143,Appendicularia
detritus,0.8916188330382848,0.9799728778915509,0.933710347927044,0.9699580855833901,0.9778502780998801,0.9738881929220168,0.9843046128131434,0.9490576049999018,0.9663598158895338,0.9869532320402445,0.9485466087537587,0.9673688641237898,detritus
fiber,0.6761112555237848,0.7980975759435409,0.7320574162679427,0.8230088495575221,0.8275544645596808,0.8252753977968176,0.7563897763578274,0.8717397974838907,0.8099786172487528,0.775206611570248,0.8634550475606014,0.8169545652489476,fiber
filament,0.7157894736842105,0.20606060606060606,0.32,0.75,0.6909090909090909,0.7192429022082019,0.49552772808586765,0.8393939393939394,0.6231721034870641,0.5009345794392523,0.8121212121212121,0.6196531791907515,filament
fuzzy,0.0,0.0,0.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8181818181818182,1.0,0.9,0.8571428571428571,1.0,0.923076923076923,Acantharia
like<Copepoda,0.0,0.0,0.0,0.4326923076923077,0.16605166051660517,0.24000000000000002,0.24384787472035793,0.4022140221402214,0.3036211699164345,0.26054590570719605,0.3874538745387454,0.31157270029673595,Copepoda
other<Cnidaria,0.14285714285714285,0.027777777777777776,0.046511627906976744,0.6153846153846154,0.4444444444444444,0.5161290322580646,0.4827586206896552,0.3888888888888889,0.43076923076923074,0.5263157894736842,0.5555555555555556,0.5405405405405405,Cnidaria
other<living,0.0,0.0,0.0,0.3448275862068966,0.06329113924050633,0.10695187165775401,0.17543859649122806,0.12658227848101267,0.14705882352941177,0.22388059701492538,0.189873417721519,0.20547945205479454,other<living
puff,0.0,0.0,0.0,0.8935064935064935,0.9272237196765498,0.91005291005291,0.8354876615746181,0.9582210242587601,0.8926553672316384,0.8700980392156863,0.9568733153638814,0.9114249037227213,Trichodesmium
reflection,0.8653846153846154,0.09803921568627451,0.17612524461839532,0.8393665158371041,0.8082788671023965,0.8235294117647058,0.7393822393822393,0.8344226579520697,0.7840327533265097,0.6864406779661016,0.8823529411764706,0.7721639656816015,reflection
rhizaria like,0.0,0.0,0.0,0.4375,0.25925925925925924,0.3255813953488372,0.2987012987012987,0.42592592592592593,0.3511450381679389,0.3157894736842105,0.4444444444444444,0.36923076923076925,Rhizaria
small<Cnidaria,0.8,0.2608695652173913,0.39344262295081966,0.9014084507042254,0.6956521739130435,0.7852760736196318,0.71875,0.75,0.7340425531914894,0.776595744680851,0.7934782608695652,0.7849462365591399,Cnidaria
solitaryblack,0.0,0.0,0.0,0.75,0.6428571428571429,0.6923076923076924,0.4074074074074074,0.7857142857142857,0.5365853658536585,0.3157894736842105,0.8571428571428571,0.46153846153846156,Collodaria
solitaryglobule,1.0,0.16666666666666666,0.2857142857142857,0.8888888888888888,1.0,0.9411764705882353,0.7272727272727273,1.0,0.8421052631578948,0.8571428571428571,1.0,0.923076923076923,Collodaria
spiky<Acantharia,0.0,0.0,0.0,0.8095238095238095,0.85,0.8292682926829269,0.6538461538461539,0.85,0.7391304347826088,0.8421052631578947,0.8,0.8205128205128205,Acantharia
spiky<Coelodendridae,0.0,0.0,0.0,1.0,0.7,0.8235294117647058,0.8181818181818182,0.9,0.8571428571428572,0.9090909090909091,1.0,0.9523809523809523,Coelodendridae
star<Acantharia,0.0,0.0,0.0,1.0,1.0,1.0,0.9318181818181818,1.0,0.9647058823529412,1.0,0.975609756097561,0.9876543209876543,Acantharia
t004,0.0,0.0,0.0,0.8181818181818182,0.75,0.7826086956521738,0.7241379310344828,0.875,0.7924528301886793,0.6571428571428571,0.9583333333333334,0.7796610169491525,t004
t011,1.0,0.36363636363636365,0.5333333333333333,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.5789473684210527,1.0,0.7333333333333334,0.7333333333333333,1.0,0.846153846153846,t011
tuff,0.8571428571428571,0.012345679012345678,0.024340770791075054,0.8091286307053942,0.8024691358024691,0.8057851239669421,0.7409420289855072,0.8415637860082305,0.7880539499036608,0.7745454545454545,0.8765432098765432,0.8223938223938224,Trichodesmium
