taxon,precision-native_rf,recall-native_rf,f1-native_rf,precision-mobilenet_pca50_rf,recall-mobilenet_pca50_rf,f1-mobilenet_pca50_rf,precision-mobilenet600,recall-mobilenet600,f1-mobilenet600,precision-effnetv2s,recall-effnetv2s,f1-effnetv2s,grouped
Acartiidae,0.714077528417371,0.48161981521525454,0.575252406668232,0.9246722754842497,0.9290347945744053,0.9268484016473819,0.92,0.935915077648909,0.9278893003313194,0.9028475711892797,0.9536072341262041,0.9275334608030592,Copepoda
Actinopterygii,1.0,0.125,0.2222222222222222,0.8,0.5,0.6153846153846154,0.3333333333333333,0.5625,0.4186046511627907,0.6,0.9375,0.7317073170731707,Actinopterygii
Amphipoda,0.9,0.1956521739130435,0.3214285714285714,0.6739130434782609,0.6739130434782609,0.6739130434782609,0.5689655172413793,0.717391304347826,0.6346153846153846,0.7254901960784313,0.8043478260869565,0.7628865979381443,other_Crustacea
Annelida,0.0,0.0,0.0,0.6666666666666666,0.3728813559322034,0.47826086956521735,0.45714285714285713,0.5423728813559322,0.49612403100775193,0.4430379746835443,0.5932203389830508,0.5072463768115942,Annelida
Appendicularia,0.622492080253432,0.6006113092205807,0.6113559761472648,0.8557536466774717,0.8069281711665818,0.8306240167802832,0.776814240073026,0.8670402445236882,0.8194511314395763,0.8162008526764567,0.8777381558838513,0.8458517427589594,Appendicularia
Bivalvia,0.42857142857142855,0.00804289544235925,0.015789473684210527,0.6830601092896175,0.6702412868632708,0.6765899864682001,0.6020833333333333,0.774798927613941,0.6776084407971864,0.5891472868217055,0.8150134048257373,0.6839145106861643,Mollusca
Calanidae,0.6261603375527426,0.8295136948015651,0.713633084876172,0.9137086903304773,0.8345444382336501,0.8723342097575226,0.8951090159104301,0.8490776970374511,0.8714859437751004,0.93424317617866,0.8418110676355506,0.8856218759188473,Copepoda
Calanoida,0.7448275862068966,0.851970468260122,0.7948044596103345,0.9359986673330002,0.9471058220678961,0.9415194879184959,0.955390722941914,0.9248895930957759,0.9398927696603232,0.9602790632449867,0.9234062636955129,0.9414817742794782,Copepoda
Calocalanus,0.0,0.0,0.0,0.65625,0.660377358490566,0.6583072100313478,0.5373134328358209,0.9056603773584906,0.6744730679156908,0.5016722408026756,0.9433962264150944,0.6550218340611355,Copepoda
Candaciidae,0.0,0.0,0.0,0.6470588235294118,0.4230769230769231,0.5116279069767442,0.45454545454545453,0.7692307692307693,0.5714285714285714,0.5454545454545454,0.6923076923076923,0.6101694915254238,Copepoda
Cavoliniidae,1.0,0.01818181818181818,0.03571428571428572,0.9761904761904762,0.7454545454545455,0.845360824742268,0.8571428571428571,0.8727272727272727,0.8648648648648648,0.7761194029850746,0.9454545454545454,0.8524590163934428,Mollusca
Centropagidae,0.4723926380368098,0.24812030075187969,0.32535211267605635,0.828125,0.7969924812030075,0.8122605363984673,0.78125,0.8592910848549946,0.8184143222506394,0.7563636363636363,0.8936627282491945,0.8193008370260955,Copepoda
Chaetognatha,0.5746606334841629,0.8054968287526427,0.670774647887324,0.8553459119496856,0.8625792811839323,0.8589473684210526,0.8366533864541833,0.8879492600422833,0.8615384615384615,0.8448275862068966,0.9323467230443975,0.8864321608040201,Chaetognatha
Cirripedia,0.6401799100449775,0.3432475884244373,0.44688644688644685,0.8847077662129704,0.8882636655948553,0.8864821500200561,0.8727415553809897,0.8930868167202572,0.8827969805323798,0.841025641025641,0.9228295819935691,0.8800306630893062,Ciripedia
Cladocera,0.525965379494008,0.3946053946053946,0.4509132420091324,0.7406340057636888,0.7702297702297702,0.7551420176297747,0.7251624883936861,0.7802197802197802,0.7516843118383061,0.7439379243452958,0.7662337662337663,0.7549212598425197,Cladocera
Copepoda,0.7645854657113613,0.2683189655172414,0.39723477798457857,0.6476801207091664,0.6167385057471264,0.6318307267709292,0.6036152356358941,0.6716954022988506,0.6358381502890174,0.6057382333978079,0.6749281609195402,0.63846415222562,Copepoda
Corycaeidae,0.8305084745762712,0.08925318761384335,0.1611842105263158,0.8862385321100917,0.8797814207650273,0.882998171846435,0.8853974121996303,0.8724954462659381,0.8788990825688073,0.8628472222222222,0.9052823315118397,0.8835555555555556,Copepoda
Ctenophora,0.0,0.0,0.0,0.6666666666666666,0.1111111111111111,0.1904761904761905,0.36363636363636365,0.4444444444444444,0.39999999999999997,0.3181818181818182,0.3888888888888889,0.35000000000000003,Ctenophora
Cyclopoida,0.7885617453929252,0.8916031996934426,0.8369228002338024,0.9563874768397549,0.9642668965847584,0.9603110241854695,0.9583194079732633,0.9614408200411937,0.9598775763951987,0.9542038848716858,0.967092973128323,0.9606051955466743,Copepoda
Decapoda,0.34782608695652173,0.1095890410958904,0.16666666666666666,0.7428571428571429,0.3561643835616438,0.48148148148148145,0.532258064516129,0.4520547945205479,0.4888888888888888,0.7096774193548387,0.6027397260273972,0.6518518518518519,Decapoda
Diatoma,0.7629680998613038,0.9586964098989195,0.8497065183812171,0.9695068827321833,0.9696758452422447,0.969591356626296,0.965162863612611,0.9656674799581736,0.965415105845457,0.9745703262013329,0.9684559079818752,0.9715034965034965,Bacillariophyceae
Diatoma tenuis<Diatoma,0.7375886524822695,0.6135693215339233,0.6698872785829307,0.8668555240793201,0.9026548672566371,0.884393063583815,0.8216145833333334,0.9306784660766961,0.8727524204702628,0.8469656992084432,0.9469026548672567,0.8941504178272981,Bacillariophyceae
Doliolida,0.0,0.0,0.0,1.0,0.6428571428571429,0.782608695652174,0.5,0.7142857142857143,0.588235294117647,0.625,0.7142857142857143,0.6666666666666666,Thaliacea
Euchaeta,0.5868544600938967,0.5490483162518301,0.5673222390317699,0.8668596237337193,0.87701317715959,0.8719068413391557,0.808974358974359,0.9238653001464129,0.8626110731373888,0.8094027954256671,0.9326500732064422,0.8666666666666667,Copepoda
Euterpina,0.5263157894736842,0.1834862385321101,0.272108843537415,0.7136929460580913,0.7889908256880734,0.7494553376906319,0.6518771331058021,0.8761467889908257,0.7475538160469667,0.6448275862068965,0.8577981651376146,0.7362204724409449,Copepoda
Evadne,0.6689655172413793,0.3201320132013201,0.43303571428571425,0.7208333333333333,0.570957095709571,0.6372007366482505,0.6936619718309859,0.6501650165016502,0.6712095400340715,0.6181318681318682,0.7425742574257426,0.6746626686656672,Cladocera
Gastropoda,0.5833333333333334,0.3888888888888889,0.4666666666666666,0.8,0.6666666666666666,0.7272727272727272,0.75,0.6666666666666666,0.7058823529411765,0.6363636363636364,0.7777777777777778,0.7000000000000001,Mollusca
Halosphaera,0.8571428571428571,0.6233766233766234,0.7218045112781956,0.797752808988764,0.922077922077922,0.8554216867469879,0.6,0.935064935064935,0.7309644670050761,0.6434782608695652,0.961038961038961,0.7708333333333333,Halosphaera
Harpacticoida,0.0,0.0,0.0,0.8571428571428571,0.4948453608247423,0.6274509803921569,0.7125,0.5876288659793815,0.6440677966101694,0.6126126126126126,0.7010309278350515,0.6538461538461537,Copepoda
Hydrozoa,0.5190476190476191,0.29222520107238603,0.3739279588336192,0.7848837209302325,0.7238605898123325,0.7531380753138075,0.7016317016317016,0.806970509383378,0.7506234413965087,0.6923076923076923,0.8203753351206434,0.7509202453987731,other_Cnidaria
Isias,1.0,0.3488372093023256,0.5172413793103449,0.9487179487179487,0.8604651162790697,0.9024390243902439,0.75,0.9069767441860465,0.8210526315789475,0.8125,0.9069767441860465,0.8571428571428572,Copepoda
Limacinidae,0.8403010033444817,0.6551499348109517,0.7362637362637363,0.8632760898282695,0.8520208604954368,0.8576115485564305,0.7973593570608496,0.9054758800521513,0.847985347985348,0.8320194057004245,0.894393741851369,0.8620797989318255,Mollusca
Luidiidae,0.7333333333333333,0.6470588235294118,0.6875,0.8461538461538461,0.6470588235294118,0.7333333333333334,0.6190476190476191,0.7647058823529411,0.6842105263157895,0.6296296296296297,1.0,0.7727272727272727,Echinodermata
Metrinidae,0.8532110091743119,0.248,0.384297520661157,0.8346666666666667,0.8346666666666667,0.8346666666666667,0.7729468599033816,0.8533333333333334,0.8111533586818758,0.7790697674418605,0.8933333333333333,0.8322981366459627,Copepoda
Microstella,1.0,0.125,0.2222222222222222,0.967741935483871,0.625,0.759493670886076,0.7454545454545455,0.8541666666666666,0.7961165048543689,0.7894736842105263,0.9375,0.8571428571428572,Copepoda
Nannosquillidae,1.0,0.23076923076923078,0.375,0.9090909090909091,0.7692307692307693,0.8333333333333333,0.75,0.9230769230769231,0.8275862068965517,0.9230769230769231,0.9230769230769231,0.9230769230769231,other_Crustacea
Neoceratium,0.9473507712944332,0.9639664232580359,0.9555863748604675,0.984271978021978,0.9780249778202416,0.9811385342142197,0.9775654059915955,0.9843035555858869,0.9809229095113408,0.9761567038162783,0.986282672490275,0.9811935637178355,Neoceratium
Noctiluca<Noctilucaceae,0.6917839310031775,0.711816907986922,0.7016574585635359,0.8025770823745974,0.8145726296123307,0.8085303662494205,0.7520938023450586,0.8388603456328818,0.7931110620446014,0.751324908275581,0.8608127043437646,0.802350892468437,Noctiluca
Obelia,0.0,0.0,0.0,0.9178082191780822,0.8072289156626506,0.858974358974359,0.7789473684210526,0.891566265060241,0.8314606741573033,0.872093023255814,0.9036144578313253,0.8875739644970415,other_Cnidaria
Oncaea,0.8301886792452831,0.23878891745215652,0.37089618456078083,0.8942743764172335,0.9011710939731505,0.8977094892587851,0.8946772366930917,0.9025992573550414,0.8986207877150576,0.8695299837925445,0.919451585261354,0.8937942523948355,Copepoda
Penilia,0.5,0.016666666666666666,0.03225806451612903,0.926829268292683,0.6333333333333333,0.7524752475247526,0.7966101694915254,0.7833333333333333,0.7899159663865546,0.7246376811594203,0.8333333333333334,0.7751937984496124,Cladocera
Phoronida,0.0,0.0,0.0,0.7857142857142857,0.7333333333333333,0.7586206896551724,0.37142857142857144,0.8666666666666667,0.52,0.5909090909090909,0.8666666666666667,0.7027027027027029,Phoronida
Physonectae,1.0,0.18518518518518517,0.3125,0.5652173913043478,0.48148148148148145,0.52,0.5757575757575758,0.7037037037037037,0.6333333333333334,0.5277777777777778,0.7037037037037037,0.6031746031746033,Siphonophorae
Podon,0.0,0.0,0.0,0.7619047619047619,0.5517241379310345,0.64,0.5882352941176471,0.6896551724137931,0.6349206349206349,0.6666666666666666,0.6896551724137931,0.6779661016949153,Cladocera
Poecilostomatoida,0.0,0.0,0.0,0.28,0.0673076923076923,0.10852713178294573,0.2761904761904762,0.27884615384615385,0.27751196172248804,0.18571428571428572,0.25,0.21311475409836067,Copepoda
Pontellidae,0.8888888888888888,0.2222222222222222,0.3555555555555555,1.0,0.9166666666666666,0.9565217391304348,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,Copepoda
Porcellanidae,0.8166666666666667,0.7368421052631579,0.774703557312253,0.8503401360544217,0.9398496240601504,0.8928571428571428,0.8865248226950354,0.9398496240601504,0.9124087591240877,0.900709219858156,0.9548872180451128,0.927007299270073,Decapoda
Rhizaria,0.7803505734689461,0.8335644937586685,0.8060802503632502,0.9212107208872459,0.9216366158113731,0.9214236191356597,0.8732245071019716,0.9521497919556172,0.9109808691805816,0.882529474812433,0.9516874711049468,0.9158046935824713,Rhizaria
Rhizosolenids,0.7725966850828729,0.9638819961400606,0.8577036310107949,0.9086106708927628,0.9484422387648194,0.928099285039795,0.9143164114961053,0.9385166804521643,0.9262585034013606,0.911625460284061,0.9556106975461814,0.933100013460762,Rhizosolenids
Temoridae,0.7323481116584565,0.20309653916211293,0.3180035650623886,0.9201680672268907,0.8975409836065574,0.9087136929460581,0.9024608501118568,0.918488160291439,0.9104039720153465,0.8981643356643356,0.9357923497267759,0.9165923282783228,Copepoda
Thalassionema,1.0,0.07142857142857142,0.13333333333333333,0.825,0.7857142857142857,0.8048780487804876,0.6307692307692307,0.9761904761904762,0.7663551401869158,0.6896551724137931,0.9523809523809523,0.7999999999999999,Bacillariophyceae
