taxon,precision-native_rf,recall-native_rf,f1-native_rf,precision-mobilenet_pca50_rf,recall-mobilenet_pca50_rf,f1-mobilenet_pca50_rf,precision-mobilenet600,recall-mobilenet600,f1-mobilenet600,precision-effnetv2s,recall-effnetv2s,f1-effnetv2s,grouped
Acartiidae,0.47153141361256545,0.16276968259347113,0.24200184734234612,0.9615428636831864,0.948943860838134,0.9552018192154634,0.9675920548263445,0.9409239805715577,0.954071698545413,0.9682430100103555,0.9505252456794308,0.9593023255813953,Copepoda
Actiniaria,1.0,0.09090909090909091,0.16666666666666669,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.9130434782608695,0.9545454545454546,0.9333333333333332,0.8148148148148148,1.0,0.8979591836734693,other_Cnidaria
Actinopterygii,0.2914572864321608,0.20069204152249134,0.23770491803278687,0.9077490774907749,0.8512110726643599,0.8785714285714287,0.9257950530035336,0.9065743944636678,0.9160839160839161,0.9640287769784173,0.9273356401384083,0.9453262786596119,Actinopterygii
Aglaura,0.549407114624506,0.610989010989011,0.5785639958376692,0.9340909090909091,0.9032967032967033,0.9184357541899442,0.9185022026431718,0.9164835164835164,0.9174917491749175,0.9259259259259259,0.9340659340659341,0.9299781181619257,Trachylina
Amphipoda,0.0,0.0,0.0,0.875,0.784,0.8270042194092827,0.9107142857142857,0.816,0.8607594936708861,0.890625,0.912,0.9011857707509882,Amphipoda
Annelida,0.25925925925925924,0.18051575931232092,0.21283783783783783,0.8731117824773413,0.828080229226361,0.8500000000000001,0.8369565217391305,0.8825214899713467,0.8591352859135286,0.8856304985337243,0.8653295128939829,0.8753623188405797,Annelida
Atlanta,0.0,0.0,0.0,0.9298245614035088,0.7794117647058824,0.8479999999999999,0.7471264367816092,0.9558823529411765,0.8387096774193548,0.8666666666666667,0.9558823529411765,0.9090909090909091,Mollusca
Bassia,0.0,0.0,0.0,1.0,0.4,0.5714285714285715,0.42857142857142855,0.6,0.5,0.7,0.4666666666666667,0.56,Siphonophorae
Bivalvia<Mollusca,0.8412698412698413,0.0682110682110682,0.12619047619047616,0.9429657794676806,0.9575289575289575,0.9501915708812261,0.9457755359394704,0.9652509652509652,0.9554140127388535,0.9404466501240695,0.9755469755469756,0.9576753000631713,Mollusca
Calanidae,0.25681039148475554,0.459935379644588,0.32959018291271125,0.9638807904114026,0.961389337641357,0.9626334519572953,0.9767789019737934,0.951373182552504,0.9639086668303463,0.9744132985658409,0.9659127625201939,0.9701444101898427,Copepoda
Calanoida,0.7512747875354108,0.46704530445119535,0.5760052127168571,0.937383136930904,0.9491040373354467,0.9432071756727193,0.9360437367119365,0.9498084797252675,0.9428758741258741,0.9441901024634838,0.9534187469730991,0.9487819838766212,Copepoda
Calocalanus pavo,0.5,0.014084507042253521,0.027397260273972605,0.9032258064516129,0.7887323943661971,0.8421052631578947,0.8024691358024691,0.9154929577464789,0.8552631578947367,0.8589743589743589,0.9436619718309859,0.8993288590604026,Copepoda
Candaciidae,0.14626129827444537,0.1007357102433503,0.11930294906166221,0.9584282460136674,0.9524617996604414,0.955435708203236,0.9373626373626374,0.9654782116581777,0.951212712573181,0.9344528710725893,0.9762308998302207,0.9548851370052588,Copepoda
Cavolinia inflexa,0.8314606741573034,0.4471299093655589,0.581532416502947,0.9729323308270676,0.9773413897280967,0.9751318764129615,0.9407514450867052,0.9833836858006042,0.9615952732644018,0.9588839941262849,0.986404833836858,0.9724497393894267,Mollusca
Centropagidae,0.32362916902204636,0.33236574746008707,0.3279392811112702,0.9442277127582719,0.9484760522496372,0.9463471146187822,0.9417936188559931,0.951088534107402,0.9464182553437319,0.9455197132616487,0.9571843251088534,0.9513162639740352,Copepoda
Chaetognatha,0.6201709682722341,0.9600458073546253,0.753558052434457,0.9724444444444444,0.9744242270008907,0.9734333290962247,0.9840756084930088,0.9671713958518896,0.9755502791503562,0.9858210879092549,0.9731518004835221,0.9794454760837549,Chaetognatha
Copilia,0.0,0.0,0.0,0.9642857142857143,0.8181818181818182,0.8852459016393442,0.9065420560747663,0.9797979797979798,0.9417475728155339,0.9158878504672897,0.98989898989899,0.9514563106796117,Copepoda
Corycaeidae,0.25559246954595793,0.3227069351230425,0.28525522185143987,0.96965399886557,0.956096196868009,0.9628273725711067,0.9651422197434467,0.9678411633109619,0.966489807316392,0.9691666666666666,0.9756711409395973,0.9724080267558529,Copepoda
Coscinodiscus,0.7973333333333333,0.27813953488372095,0.4124137931034483,0.9765917602996255,0.9702325581395349,0.9734017732151191,0.9622815087396505,0.9730232558139534,0.967622571692877,0.9677121771217713,0.9758139534883721,0.9717461787864752,Stramenopiles
Creseidae,0.6234042553191489,0.3820078226857888,0.47372675828617616,0.9272030651340997,0.9465449804432855,0.9367741935483871,0.9149198520345253,0.9674054758800521,0.9404309252217997,0.9235588972431078,0.9608865710560626,0.94185303514377,Mollusca
Creseis acicula,0.7142857142857143,0.6414219474497682,0.6758957654723127,0.9608626198083067,0.9296754250386399,0.9450117831893167,0.9563492063492064,0.9312210200927357,0.9436178543461238,0.9461952344350499,0.9513137557959814,0.9487475915221579,Mollusca
Ctenophora,0.0,0.0,0.0,0.8620689655172413,0.5474452554744526,0.6696428571428571,0.6353591160220995,0.8394160583941606,0.7232704402515723,0.7785234899328859,0.8467153284671532,0.811188811188811,Ctenophora
Cumacea,1.0,0.1794871794871795,0.30434782608695654,0.9710144927536232,0.8589743589743589,0.9115646258503401,0.9726027397260274,0.9102564102564102,0.9403973509933774,0.9605263157894737,0.9358974358974359,0.948051948051948,Amphipoda
Cymbulia peroni,0.0,0.0,0.0,0.9090909090909091,0.7142857142857143,0.8,0.631578947368421,0.8571428571428571,0.7272727272727273,0.65,0.9285714285714286,0.7647058823529412,Mollusca
Doliolida,0.5454545454545454,0.2874743326488706,0.37651277454056475,0.9451476793248945,0.919917864476386,0.9323621227887617,0.9164983164983165,0.9315537303216974,0.9239646978954514,0.9359673024523161,0.9404517453798767,0.9382041652441107,Doliolida
Eucalanidae,0.25555555555555554,0.12568306010928962,0.16849816849816848,0.9176470588235294,0.8524590163934426,0.8838526912181303,0.9016393442622951,0.9016393442622951,0.9016393442622952,0.8787878787878788,0.9508196721311475,0.9133858267716536,Copepoda
