taxon,precision-native_rf,recall-native_rf,f1-native_rf,precision-mobilenet_pca50_rf,recall-mobilenet_pca50_rf,f1-mobilenet_pca50_rf,precision-mobilenet600,recall-mobilenet600,f1-mobilenet600,precision-effnetv2s,recall-effnetv2s,f1-effnetv2s
Actinopterygii,0.47708333333333336,0.23415132924335377,0.31412894375857336,0.879837067209776,0.8834355828220859,0.8816326530612245,0.8784584980237155,0.908997955010225,0.8934673366834172,0.9261954261954262,0.911042944785276,0.9185567010309278
Alveolata,0.7008,0.42400774443368827,0.5283474065138721,0.9034038638454461,0.9506292352371732,0.9264150943396227,0.8315617334423548,0.9845111326234269,0.901595744680851,0.8802447552447552,0.9748305905130688,0.9251263206247129
Amphipoda,0.5,0.1483739837398374,0.2288401253918495,0.948051948051948,0.8902439024390244,0.9182389937106918,0.9638297872340426,0.9207317073170732,0.9417879417879419,0.9549180327868853,0.9471544715447154,0.9510204081632653
Annelida,0.11094377510040161,0.3502377179080824,0.16850934044986657,0.9443478260869566,0.8605388272583201,0.900497512437811,0.8827893175074184,0.9429477020602218,0.9118773946360154,0.9332298136645962,0.9524564183835182,0.9427450980392156
Appendicularia,0.41256028517508914,0.4785358141797397,0.4431056809864309,0.955539179562761,0.9461267177429162,0.950809654750993,0.9622147399925177,0.9383436701933601,0.9501292944218691,0.9515122419587134,0.9641250152012647,0.9577771066143159
Chaetognatha,0.6527867790019443,0.9365411436541143,0.7693335879320222,0.9772459325630748,0.9633891213389121,0.9702680557181318,0.9804710616641023,0.9628079962807996,0.9715592564358178,0.9784256559766764,0.9751278475127848,0.9767739682170092
Cirripedia,0.5,0.0035046728971962616,0.0069605568445475635,0.9257425742574258,0.8738317757009346,0.8990384615384617,0.8734739178690344,0.919392523364486,0.8958451906659077,0.908883826879271,0.9322429906542056,0.9204152249134948
Cladocera,0.4975343887879574,0.21570833802182965,0.30094191522762953,0.9691980286738351,0.973669404748509,0.9714285714285713,0.9684128573017462,0.9797456959603916,0.9740463139053587,0.9747244182162342,0.985034319792956,0.9798522498321021
Copepoda,0.9496718920889538,0.7027395227754023,0.8077552191136228,0.9915472004327833,0.9889124189001444,0.990228057024386,0.9929401263203451,0.9902882501315132,0.9916124152462249,0.9919625186800759,0.9938357365418077,0.9928982441009607
Ctenophora,0.0,0.0,0.0,0.8620689655172413,0.5474452554744526,0.6696428571428571,0.6353591160220995,0.8394160583941606,0.7232704402515723,0.7785234899328859,0.8467153284671532,0.811188811188811
Decapoda,0.48318385650224216,0.4639397201291712,0.4733662822624931,0.9418666666666666,0.9504843918191603,0.9461559067773908,0.9371879106438896,0.9596340150699677,0.9482781545007313,0.9428943937418514,0.9730893433799784,0.9577539398755132
Doliolida,0.5454545454545454,0.2874743326488706,0.37651277454056475,0.9451476793248945,0.919917864476386,0.9323621227887617,0.9164983164983165,0.9315537303216974,0.9239646978954514,0.9359673024523161,0.9404517453798767,0.9382041652441107
Echinodermata,0.816,0.1041879468845761,0.18478260869565216,0.9600912200684151,0.8600612870275791,0.9073275862068966,0.8958130477117819,0.9397344228804902,0.9172482552342971,0.9069767441860465,0.9560776302349336,0.9308801591248136
Eumalacostraca,0.5514297061159651,0.728488982161595,0.6277124773960218,0.9321326024536675,0.9367785939139559,0.9344498233677876,0.9398318444561219,0.9383525708289612,0.939091625098451,0.9588075880758807,0.9281217208814271,0.9432151426286324
Harosa,0.4,0.00819672131147541,0.016064257028112452,0.7642276422764228,0.7704918032786885,0.7673469387755102,0.6907216494845361,0.8237704918032787,0.7514018691588785,0.6492307692307693,0.8647540983606558,0.7416520210896308
Insecta,0.1803921568627451,0.5443786982248521,0.2709867452135493,0.9692307692307692,0.7455621301775148,0.8428093645484951,0.8987341772151899,0.8402366863905325,0.8685015290519877,0.9245283018867925,0.8698224852071006,0.8963414634146342
Isopoda,0.7066666666666667,0.6385542168674698,0.6708860759493671,1.0,0.9759036144578314,0.9878048780487805,0.9540229885057471,1.0,0.976470588235294,0.9651162790697675,1.0,0.9822485207100593
Mollusca,0.7755563938136553,0.3338746346216304,0.4667953229651493,0.9670075882547015,0.9519324455992205,0.9594108019639935,0.9390167034352348,0.9676843130886652,0.9531349968010238,0.9412223261615217,0.9803507632348165,0.9603881641743556
Pyrosomatida,0.36363636363636365,0.16,0.2222222222222222,0.9583333333333334,0.92,0.9387755102040817,0.9358974358974359,0.9733333333333334,0.954248366013072,0.9240506329113924,0.9733333333333334,0.948051948051948
Rhizaria,0.39488608585117824,0.9419241982507288,0.5564780047538668,0.9679878048780488,0.9626822157434403,0.9653277202829914,0.9441007760656844,0.9788921282798834,0.9611817244933013,0.9552919708029197,0.9767930029154519,0.9659228507178689
Salpida,0.2955263157894737,0.7787794729542302,0.4284624189240748,0.9318665720369056,0.9105409153952844,0.9210803226937918,0.8973762869478579,0.9368932038834952,0.9167090754877014,0.8984986945169713,0.9545769764216366,0.925689307330195
Siphonophorae,0.5199721024600558,0.6704545454545454,0.5857020425653479,0.9362942287168541,0.9323904512753434,0.9343382624011797,0.9017136709444402,0.9592871157619359,0.9296098237274707,0.9119031088482604,0.966399607586658,0.9383607858702124
Stramenopiles,0.7973333333333333,0.27813953488372095,0.4124137931034483,0.9765917602996255,0.9702325581395349,0.9734017732151191,0.9622815087396505,0.9730232558139534,0.967622571692877,0.9677121771217713,0.9758139534883721,0.9717461787864752
Trachylina,0.6147058823529412,0.44610458911419426,0.5170068027210883,0.8997797356828194,0.871931696905016,0.8856368563685636,0.8595617529880478,0.9210245464247598,0.8892323544564656,0.8767535070140281,0.9338313767342583,0.9043927648578811
artefact,0.7947543713572023,0.7420316144078777,0.7674886089520236,0.7562930353313015,0.8681005441824307,0.8083489171743984,0.721555949525498,0.8964757709251101,0.7995608713237418,0.7100878521660103,0.9111168696553511,0.7981385846433233
badfocus,0.6037574722459437,0.11693681773073106,0.1959262851600388,0.6979124849458049,0.5750909692358585,0.6305767138193689,0.6201027617212588,0.6387694343367516,0.6292977024604856,0.64348424857979,0.6182600066159444,0.6306199915647406
bubble,0.8105590062111802,0.10731907894736842,0.1895424836601307,0.9176854115729421,0.9259868421052632,0.9218174375767499,0.8730638458632414,0.9502467105263158,0.9100216578066548,0.873589164785553,0.9547697368421053,0.9123772102161101
cyphonaute,0.9631147540983607,0.17616191904047976,0.2978453738910013,0.9931350114416476,0.9760119940029985,0.984499054820416,0.9842814371257484,0.9857571214392804,0.9850187265917603,0.9799107142857143,0.987256371814093,0.9835698282300225
detritus,0.44593998234774934,0.7245725317153888,0.5520929646129276,0.8074248366013071,0.8517374517374517,0.8289893973963226,0.8785207894232612,0.7586872586872587,0.8142184864000948,0.8958944765045342,0.7492553778268064,0.8160396485694976
fiber,0.8848648648648648,0.48807394156231365,0.6291314373558802,0.763988746483276,0.7286821705426356,0.7459179001983823,0.7247088536551144,0.7699761478831246,0.7466570292735816,0.720104943385805,0.7774299344066786,0.7476702508960573
other_Cnidaria,0.24924471299093656,0.15684410646387834,0.19253208868144692,0.8957816377171216,0.6863117870722434,0.7771797631862218,0.8294416243654822,0.776615969581749,0.8021600392734413,0.7975970425138632,0.8203422053231939,0.8088097469540768
other_Crustacea,0.4348308374930671,0.11940298507462686,0.1873581073007528,0.8363309352517986,0.779013097776424,0.8066551017189718,0.7727272727272727,0.8466341760584831,0.8079941860465117,0.7868034377599112,0.8644532439841608,0.8238026124818577
other_egg,0.7302725968436155,0.5052109181141439,0.5972425931358168,0.9338085539714868,0.9101736972704715,0.9218396582055793,0.9143715573360041,0.9062034739454095,0.9102691924227319,0.917687408133268,0.9295285359801488,0.9235700197238658
other_living,0.4444444444444444,0.1,0.163265306122449,0.9090909090909091,0.25,0.392156862745098,0.5853658536585366,0.6,0.5925925925925926,0.7777777777777778,0.7,0.7368421052631577
seaweed,0.42745535714285715,0.3011006289308176,0.3533210332103321,0.6990856192851206,0.6611635220125787,0.6795959595959595,0.6473498233215548,0.720125786163522,0.6818012653516933,0.5694130925507901,0.7932389937106918,0.6629434954007885
